,Name,Price,Brand,Rating,Seller Name,Number of Sales,Number of Reviews
99,ABEX SLEEK 14 / Ultra Slim & LightWeight Laptop / 140 inch FHD Screen / 1 Year Warranty /  SG Local Brand (Silver & Rose Gold),519,ABEX,5,ABEX,15,3
100,Dell Latitude 5400 Chromebook Enterprise Laptop,189,Dell,4.15,UB18 Computers Pte Ltd,32,9
101,"ASUS Vivobook Go 15 E510KA-BR478WS 156"" Laptop (Intel Celeron N4500 | Intel HD Graphics | 4GB/128GB)",504,ASUS,4.5,ASUS Official Store,23,7
104,"Lenovo IdeaPad 1 14IJL7 | 82LV005YSB |  14"" HD (1366x768) TN 220nits Anti-glare | Intel Celeron N4500 | 4GB RAM | 128GB eMMC | Win11 Home in S mode | 1Y",369,Lenovo,4.91,ATRiX Aurora Computer,916,288
105,"HP 13"" Laptop Intel Core i5 8-Gen 8250u /Wifi/ Camera/For basic gaming, work, office use and online education 1-year warranty",495,HP,5,TC Laptop store,37,14
106,[Brand New] Lenovo V15 Gen 4 AMN/AMD R5-7520U/16GB/512GB/156FHD IPS/Win 11 Home/16kg only,649,Lenovo,5,Ai PC,28,10
107,HP EliteBook 840G5 / 8Th Gen Intel Core i7-8550U/141in/16GB RAM+512G SSD / BrandNew Original Laptop / High definition resolution 1920x1080/HD Camera/WiFi/Bluetooth,734.6,HP,4.5,16G+Laptop Mall,25,14
108,"Hp Elitebook 830 G5 i5 8th gen 8GB/16GB  256GB /512GB SSD  win11 pro , ms office",299,Hewlett Packard,4.88,UB18 Computers Pte Ltd,99,25
109,"HP EliteBook  840 G7 Laptop ,  i7 10th Gen  16GB Ram 512GB SSD, Win 11 Pro, Ms Office  (refurbished )",489,HP,4.14,UB18 Computers Pte Ltd,29,7
110,"Lenovo ThinkPad X380 Yoga – 133″ Touch Screen 2 in 1 Laptop, i5 8th Generation 8Gb Ram 256GB SSD with bag & mouse, Windows 11 Pro (Refurbished Laptop)",350,Lenovo,5,WORLDWIDE COMPUTER SERVICES PTE LTD,9,2
111,"LENOVO T480 ThinkPad 14"" HD Display/ Intel Core i5 8th Gen/ 16GBRAM 512GB SSD WIN11 PRO / OFFICE (Refurbished), preowned  wired Mouse & Laptop Bag",330,Lenovo,4,WORLDWIDE COMPUTER SERVICES PTE LTD,20,4
112,"Lenovo ThinkPad T480 / T490  i5 / i7 8th Gen 8GB/16GB DDR4 Ram, 256GB /512GB SSD  Windows 11Pro",319,Lenovo,4.92,UB18 Computers Pte Ltd,303,79
113,Brand New Fuji X-Pro 17 Ultrabook / Intel i5 Laptop / 173 Inch / 24GB Ram / 512GB SSD / Premium Quality / SG Warranty,196,Fuji,5,Fuji Gadgets,27,9
116,Brand New Fuji X-Pro Go Ultrabook / 156 inch Intel i5 Laptop / 24GB RAM / 512GB SSD / Win 11 / MS Office / SG  Seller,220,Fuji,4.57,Fuji Gadgets,17,6
118,Dell Latitude E7490/E7450/Intel Core i5 i7/16G RAM/1TB SSD/integrated graphics/HDMI+WIFI+HD Camera,508.21,Dell,4.5,Focusing on IT laptop,6,4
119,"Lenovo ThinkPad T440 14 inches Laptop, Core i5-4600U 21GHz, 8GB Ram, 256 GB SSD, Windows 10 Pro Office 2019,Zoom,WFH",169,Lenovo,5,Laptop Options,8,2
120,HP Laptop/laptop brand new original/HP ProBook 450G1 450G2 450G5/156in/Built in numeric keypad/Core i5/16GB Memory/256GB SSD+500GB HDD/integrated graphics,524.8,HP,4.6,Game Computer Mall,10,5
121,"HP Laptop 15-fd0357TU | 156""  FHD (1920 x 1080) | Intel Core i5-1334U | Iris Xᵉ Graphics | 16GB RAM | 512GB SSD | Win11 Home | 1 Years Onsite Warranty",799,HP,4.81,ATRiX Aurora Computer,75,15
122,"Apple 14-inch MacBook Pro: Apple M4/M4 Pro/M4 Max chip, 2024)",2499,Apple,4.78,Apple Flagship Store,542,85
123,Apple 13-inch MacBook Air (M3) with 8-core CPU and 10-core GPU,1899,Apple,4.78,Apple Flagship Store,112,27
124,[Laptop] Microsoft Surface Laptop (7th Edition) Copilot+ PC 13in 256GB/512GB/1TB C10/C12 16GB,1568,Microsoft,5,Microsoft,31,10
125,"Lenovo IdeaPad Slim 3 15ABR8 | 82XM00MPSB | 156"" FHD (1920x1080) IPS 300nits | Ryzen 7 5825U | Radeon Graphics | 16GB RAM | 512GB SSD | Win11 Home | 3Y Premium Care",749,Lenovo,5,ATRiX Aurora Computer,267,90
127,(Refurbished) Microsoft Surface laptop  1 /2 /3 gen high-end I5 7/8/10 th Gen /16gb rams / 256gb SSD / 135” PixelSense™ Display,289,Microsoft Sg,4.89,Xinshi Computers,77,28
128,Dell Latitude 5490 | 14 inch Full HD FHD Business Laptop | Intel 8th Gen i5 8th gen Quad Core | 8 GBDDR4 Ram | 256GB SSD | Win 10 Pro (Refurbhised),265,Dell,4.73,Tech to Next Generation,48,26
130,Cheapest Price - New Arrival - Dell Latitude - i5 8th Gen - 16Gb Ram & 512Gb SSD - Light Weight (17Kg) / Win11 Pro Original / Business Model Laptop,399,Dell,5,BuyFairSG,31,11
132,"HP ELITEBOOK 840 G7, I7-10610U GEN 10, 16 GB RAM, 512 GB M2 SSD, WEBCAM, WINDOWS 11,  INTEL (R) UHD GRAPHICS 620",400,HP,5,PC JUNCTION PTE LTD,10,3
134,"Dell Latitude 5400 Business Laptop,Non-Touch Intel Core 8th Gen i5-8350U,16 GB RAM,512 GB SSD,Windows 10",320,Dell,4.67,Tech to Next Generation,46,15
135,Dell Latitude E6430! Budget and Durable Laptop! Best for Office work and School! 10Q Computer,150,Dell,4.8,10Q COMPUTER,18,5
