,Name,Price,Brand,Rating,Seller Name,Number of Sales,Number of Reviews
312,Samsung Galaxy S10e Octa Core Snapdragon 855 LTE Android Mobile Phone 58 16MP&12MP 6GB RAM 128GB ROM NFC,279.03,Samsung,5.0,Com2Share Audio store,5.0,2.0
313,"Realme 13 Pro Plus Mobile Phone/Realme 13 Pro+ Smartphone/Snapdragon 7s Gen 2/50MP Double Sony OIS Camera/ 67"" 120Hz Curved Display/5200mAh/80W SUPERVOOC 真我13 Pro+",349.0,Realme,5.0,Lily Happy,5.0,1.0
314,VIVO iQOO Z9 Turbo Smartphone/VIVO iQOO Z9 Phone/VIVO iQOO Z9x Cell Phone/iQOO Phone/VIVO Phone,230.0,Vivo,5.0,Eliauk,9.0,2.0
315,REDMI K80 Pro  Snapdragon 8 Elite/REDMI K80 Snapdragon 8 Gen 3 Mobile Phone/667 inches 120Hz OLED Screen Redmi Cellphone/HyperOS 2/6000 mAh/120W wired Charging/红米手机,637.0,Xiaomi,5.0,Lily Happy,8.0,3.0
319,"Samsung Galaxy S24+ 5G, AI Phone",1152.0,Samsung,4.96,Samsung,1500.0,426.0
327,LG WING 5G CellPhone Unlocked Flip Dual Screen Mobile Phone 68'' 8GB+256GB Snapdragon 765 Android NFC SmartPhone,458.34,LG,5.0,Com2Share Audio store,6.0,50.0
329,VIVO iQOO Neo 10 Pro Dimensity 9400/VIVO iQOO Neo 10  Snapdragon 8 Gen 3 Gaming Phone/iQOO Gaming Phone/120W SuperVOOC/Dual SIM/VIVO手机/IQOO Mobile Phone,532.62,Vivo,5.0,MOMO Technology,6.0,3.0
330,2024 New Realme 13 Pro Plus Mobile Phone/Realme 13 Pro/Realme 13/Snapdragon 7s Gen 2 120Hz Curved Display 50MP Double Sony OIS Camera 67 inchs 5200mAh 80W Fast Charging/真我13Pro+,349.0,Realme,5.0,DS Moblie Store,7.0,3.0
333,Xiaomi Redmi Turbo 3 Smartphone/Redmi Note 12T Pro/Redmi Turbo 3 Harry Potter Edition Snapdragon 8s Gen 3 Cellphone/ 667 inch/5000 mAh Dual SIM Redmi Phone/ Xiaomi Phone/redmi turbo 3/Mi phone/小米手机,330.0,Xiaomi,5.0,DS Moblie Store,14.0,8.0
353,2024 Motorola Razr 50 Ultra Smartphone /Motorola Razr 50 /Motorola Moto Razr 40 Ultra 5G Phone/ Motorola Moto Razr 40 Smartphone/Razr 50 Foldable Phone/Motorola Phone,639.0,Motorola,5.0,KK Technology,42.0,16.0
354,Unihertz Jelly Star Mini Smartphone Android 13 8GB 256GB Led Light Unlocked Transparent Backshell Cellphones 48MP 3 inch Phone,329.0,Unihertz,5.0,Mobile Brand Store,5.0,4.0
357,OPPO A92s 5G Smart Phones | 1 MONTH LOCAL WARRANTY,279.0,OPPO,3.86,Tech 2021,25.0,7.0
382,OUKITEL WP12 Pro 4GB+64GB Android 11 Helio A20 Quad Core 7201400 4000mAh 13MP Camera IP68 IP69K Rugged NFC Mobile Phone,159.0,OUKITEL,5.0,Mobile Brand Store,14.0,3.0
383,"Samsung Galaxy S24 5G, AI Phone",1082.0,Samsung,4.97,Samsung,1400.0,401.0
385,Google Pixel 6A Unlocked US Version Single Sim + eSIM 5G Mobile Phone Google Tensor (5nm) 4410 mAh 6GB + 128GB NFC Original,368.03,Google,5.0,Com2Share Audio store,10.0,5.0
390,2024 Brand New Reno12| Reno12 Pro Mobile Phone|MTK Dimensity 9200+ CPU|67INCH 120Hz AMOLED Screen|5000mAh|80W Super Flash Charge| Reno 12 Series Phone| Reno 12 Cellphone|Reno 12 Pro,506.0,OPPO,4.76,MOMO Technology,55.0,17.0
