Unnamed: 0,Name,Price,Brand,Rating,Seller Name,Number of Sales,Number of Reviews
238,"[[LOCAL STOCK] OUKITEL G1 Android 14 24GB+256GB 10600mAh 18W Fast charge Mobile 652inch HD+ 48MP+5MP+2MP IP68 IP69K Handphone,[Local stock] Oukitel G1 Android 14 GB + 256 GB 10600 amp 18 W fast charge mobile phone 652 inch HD + 48mp + 5MP + 2MP IP68 mobile phone ip69k,]",199.6,OUKITEL,5,OUKITEL Flagship Store,14,3
248,SAMSUNG Note9 6/128GB เครื่องแท้ 100% ศุนย์ไทย พร้อมส่ง ใช้งานปกติ มีประกันให้ USED PHONE,199.6,Samsung,4.92,jayphones,357,163
499,Redmi Note 9 Pro Cellphone Snapdragon 750G Octa Core 5G Smart Phone 108MP Camera 4820mAh Battery 667 inch Display Global Rom,194.07,Xiaomi,4.92,Redmi Smartphone Factory store,41,13
752,Fanvil W611W Portable Wi-Fi Phone โทรศัพท์ไร้สาย รับประกัน 2ปี ศูนย์ไทย,190,Fanvil,5,ITDD,7,2
335,"Original Xiaomi Redmi Note 10 Pro 5G Smartphone 8GB RAM 128GB ROM NFC Dimensity 1100 Android 11 Cellphone 65"" 5000mAh 64MP Mobile Phone used phone",188.44,Xiaomi,4.71,WONDERFUL BLACK TECH,56,27
403,Oukitel WP23 Rugged Mobile Phone Android 13 Cellphone 4GB+64GB 652Inch HD Display 10600mAh Battery Smartphones 13MP Rear Camera,184,OUKITEL,5,Smart Electronic Shop,20,9
886,Samsung Note8 6/64GB เครื่องเเท้ศูนย์ไทย ขายตามสภาพ แนะนำดูรีวิวก่อนสั่งได้ครับ Used Phone,183.6,Samsung,4.99,jayphones,176,79
68,"(NEW IN) Xiaomi Redmi 14C 4G (6+128GB/8+256GB)688"" โทรศัพท์มือถือ แบตเตอรี่ 18W 5160mAh รับประกัน 15 เดือน 120Hz กล้องหลัก 50 MP",177.68,Xiaomi,4.97,Xiaomi Mall TH,2300,1133
296,Redmi 13C 4G (8+256GB)(By Lazada Superiphone),171.96,Redmi,4.96,Superiphone,464,114
834,Godox 24GHz MoveLink II M2 M1 Wireless Lavalier Omnidirectional Microphone Transmitter Receiver for Phone DSLR Camera Smartphon,170,AMBITFUL,5,AMBITFUL Online Store,7,9
461,Global Version Oringina XIaomi 9 SE Smartphone 6GB+128GB Snapdragon 712 48 MP+ 20MP high pixel Dual SIM Fast Charging 18W Android mobile phone,162.39,Xiaomi,4.95,Redmi Smartphone Factory store,57,32
289,Vivo Y18 (Ram4GB/Rom128GB) (By Lazada Superiphone),161.32,Vivo,5,Superiphone,66,18
871,"DECT Wireless IP Phone ""Yealink"" W73H เครื่องลูกโทรศัทพ์ไร้สาย VoIP สำหรับฐาน W73B หรือ W73P",159.6,Yealink,5,Voice Works,6,1
166,"COD OPPO A78 ของแท้ 100% smart phone Ram 8GB Rom 256GB 656"" โทรศัพท์มือถือ (รับประกัน 1ปี ฟรีอุปกรณ์ตกแต่งครบชุด)",152,OPPO,4.86,Mobile phone store no.1,347,90
750,Phonik Key Telephone PI-24G และ PI-32G ใช้ร่วมกับตู้สาขาโทรศัพท์Phonikเท่านั้น มาแทนรุ่นPK-24G PK-32,151.96,Phonik,4.98,"PABX THAI Co.,Ltd.",80,163
19,"Samsung Galaxy A06 4+64GB,128GB",147.96,Samsung,4.96,Samsung,3000,1226
873,Yealink W73H - IP DECT Add-on Phone W73H,142.6,Yealink,5,"IES ONE SERVICE CO.,LTD.",9,1
111,Vivo Y03t (ram4/rom128GB)Vibrant Design(By Lazada Superiphone),139.96,Vivo,4.95,Superiphone,312,75
258,"Redmi 14C 8 + 256GB 688 ""cell phone battery 18W 5160mAh 120Hz Main camera 50 MP 1 year warranty",139.96,Redmi,5,Mario Phone.LTD,8,1
242,Xiaomi Redmi Note 8 Pro 90% New Smartphone 6G 128GB ROM Battary 4500mA 2340 x1080 Pixel,138.39,Xiaomi,5,WONDERFUL BLACK TECH,8,4
961,[Wistino] จอภาพแบบพกพา 14นิ้ว 1080P การเชื่อมต่อไร้สาย IPS HD HDMI USB Type C Display for PC Laptop Phone PS4-Switch-XBOX  Gaming Screen,135.6,Wistino,5,Wistino,30,9
177,OPPO A3X (4+64GB)น้องเล็ก Spec Wow,134.24,OPPO,5,Superiphone,129,30
449,BRAND NEW Xiaomi Redmi Note 8 Pro Smartphone，653inchs Android Cellphone Original Phone 6GB RAM 128GB ROM Global ROM version Mobil Phone,133.74,Xiaomi,4.69,SmartphoneTop1,42,16
212,OPPO A3X (4+64GB)น้องเล็ก Spec Wow,133.32,OPPO,5,Jin Jja ,12,3
321,Infinix Hot 20i Ram 4 ROM 64 smartphone Infinix mobile phone infinite Helio G25 phone newest Android mobile phone,131.96,Infinix,5,50000mobile,9,1
709,Panasonic Cordless Phone KX-TG3712 BXB Black and Silver,131.6,Panasonic,4.99,"PABX THAI Co.,Ltd.",502,217
754,โทรศัพท์ไร้สาย แบบ 3 ตัวในชุด AT3102-3 Twins Cordless Phone with backlighted LCD and Speakerphone(1 ชุดมี 3 ตัว) Uniden โทรศัพท์บ้าน สำนักงาน ระบบตู้สาขา,131.6,Uniden,5,PCS Solution,11,1
195,POCO C75 6GB+128GB / 8GB+256GB และ C65 6GB+128GB / 8GB+256GB,129.96,Poco,5,Supershop_Sathorn,83,30
920,Android Smart Phone Xiaomi Mi Max 3 69 Inch 4G RAM 64GB ROM Fingerprint 4G 5000mAh Global version,129.7,Xiaomi,4.96,WONDERFUL BLACK TECH,53,39
196,[ใหม่ล่าสุด] Samsung Galaxy A06 จอใหญ่ 67 นิ้ว รีเฟรช 90Hz แบต 5000mAh ชิป Helio G85 SIxteen Phone,129.6,Samsung,5,Sixteenphone,16,9
234,Samsung Galaxy A06(4/64GB)  (By Lazada Superiphone),126.2,Samsung,5,Superiphone,96,9
404,"ใหม่เอี่ยมของแท้ เรดมี่ 12C ของแท้ 100% smart phone Ram 6/8GB Rom 128/256GB 671""หน้าจอใหญ่ (รับประกัน 1ปี ฟรีอุปกรณ์ตกแต่งครบชุด)",123.2,Redmi,4.88,Mobile phone store no.1,184,93
606,มือถือ Energizer E241S(Ram512/Rom4GB) หน้าจอ 24 นิ้ว(By Lazada Superiphone),122,Energizer,4.88,Superiphone,55,33
244,โทรศัพท์มือถือ UMIDIGI A9 Pro (8GB+128GB) สมาร์ทโฟน หน้าจอกว้าง63นิ้ว  FHD+แบตเตอรี่ 4150มิลลิแอมป์ กล้องหลัง Android 11 Helio P60,120,UMIDIGI,5,UMIDIGI Official Store,20,4
235,Nokia 2660 Flip 4G TA-1474 DS Authentic,119.6,Nokia,5,แฮปปี้ เทเลคอม,43,11
663,Panasonic Cordless Phone 24 GHz Model KX-TG3712,119.6,Panasonic,4.92,"S.M.COMMUNICATION CO.,LTD",457,99
813,Xiaomi Redmi Note 8  90% new สมาร์ทโฟนพร้อมเคสโทรศัพท์-โทรศัพท์ Android ดั้งเดิม4000MAh Baterry Quad Cmaera,118.22,Xiaomi,5,WONDERFUL BLACK TECH,9,4
149,🚛Delivery within 24 hours or less🚛[Center warranty] Redmi 13C 5G 8 + 256GB mobile phone 5000mAh battery 15 months warranty 90Hz FHD +,115.96,Redmi,4.87,Luno.Store.ltd,271,103
275,"For Nokia 81 Nokia X7 Smartphone 618"" inches Snapdragon 710 Octa Core Android 20MP Mobile Phone Fast charging used phone",113.93,Nokia,4.78,WONDERFUL BLACK TECH,16,42
125,(New) Redmi 13C 5g (8GB + 256GB) mobile phone 5000mAh battery 15 months warranty 90Hz FHD + 18W Quick Charge,113.64,Redmi,4.73,MR.Gadget.LTD,225,92
240,(New) Redmi 13C 5g (8GB + 256GB) mobile phone 5000mAh battery 15 months warranty 90Hz FHD + 18W Quick Charge,113.64,Redmi,4.68,MR.Gadget.LTD,92,44
